iucn_sid,sens,stressor,code,score_num
41797,TRUE,organic,9.2.2,3
41819,TRUE,organic,9.2.2,3
41870,FALSE,organic,9.2.2,NA
41875,FALSE,nutrient,9.1.1,NA
41875,FALSE,organic,9.2.2,NA
41880,FALSE,direct_human,1.1,NA
42712,FALSE,direct_human,1.1,0
43993,FALSE,direct_human,1.1,NA
43993,FALSE,direct_human,1.2,NA
43993,FALSE,direct_human,1.3,NA
43993,FALSE,nutrient,9.1.1,NA
43993,FALSE,organic,9.2.1,NA
44070,TRUE,direct_human,6.1,3
44071,TRUE,direct_human,6.1,3
44166,TRUE,direct_human,1.1,3
44166,TRUE,nutrient,2.4.3,3
44173,FALSE,organic,9.2.1,1
44174,FALSE,organic,9.2.1,NA
44175,FALSE,organic,9.2.1,NA
44176,FALSE,organic,9.2.1,NA
44177,FALSE,organic,9.2.1,NA
44178,FALSE,organic,9.2.1,NA
44179,FALSE,organic,9.2.1,NA
44183,TRUE,direct_human,6.1,3
44187,TRUE,organic,9.3.3,3
44587,TRUE,organic,9.3.3,3
44671,TRUE,direct_human,1.3,3
44674,FALSE,direct_human,1.1,NA
44674,FALSE,direct_human,1.2,NA
44674,FALSE,nutrient,9.1.2,NA
44674,FALSE,organic,9.1.2,NA
60108,TRUE,direct_human,6.1,3
60112,TRUE,direct_human,6.1,3
60149,TRUE,direct_human,6.1,3
60152,TRUE,nutrient,2.4.1,3
60154,TRUE,direct_human,1.1,3
60168,TRUE,nutrient,2.4.2,3
60171,FALSE,nutrient,2.4.3,NA
60171,TRUE,direct_human,6.1,5
60302,TRUE,direct_human,1.1,3
60302,TRUE,nutrient,2.4.3,3
60302,TRUE,nutrient,9.1.1,3
60344,TRUE,direct_human,1.1,4
60344,TRUE,direct_human,1.2,4
60344,TRUE,direct_human,1.3,4
60344,FALSE,nutrient,9.1.1,NA
60344,FALSE,nutrient,9.1.2,NA
60344,FALSE,organic,9.1.2,NA
60344,FALSE,organic,9.2.2,NA
60344,TRUE,organic,9.3.3,6
60344,FALSE,light,9.6.1,NA
61213,TRUE,nutrient,9.3.1,3
61213,TRUE,organic,9.3.3,3
61250,TRUE,nutrient,2.4.2,3
61314,FALSE,direct_human,1.1,NA
61314,FALSE,direct_human,1.2,NA
61333,TRUE,direct_human,1.1,3
61333,TRUE,direct_human,1.2,3
61333,TRUE,direct_human,1.3,3
61333,TRUE,direct_human,6.1,3
61333,TRUE,nutrient,9.1.1,3
61334,TRUE,direct_human,1.2,3
61334,TRUE,nutrient,9.1.1,3
61337,TRUE,direct_human,6.1,3
61339,FALSE,direct_human,1.2,NA
61417,FALSE,direct_human,1.1,NA
61417,FALSE,direct_human,1.2,NA
61417,FALSE,direct_human,1.3,NA
61418,FALSE,direct_human,1.1,NA
61418,FALSE,direct_human,1.2,NA
61418,FALSE,direct_human,1.3,NA
61418,FALSE,direct_human,6.1,NA
61442,TRUE,direct_human,1.2,7
61442,FALSE,direct_human,6.3,NA
61442,FALSE,nutrient,9.1.1,NA
61442,FALSE,nutrient,9.1.2,NA
61442,FALSE,organic,9.1.2,NA
61442,TRUE,organic,9.3.3,7
62256,TRUE,direct_human,1.1,5
62256,TRUE,direct_human,1.2,5
62256,TRUE,direct_human,1.3,5
62256,TRUE,organic,9.2.1,5
63570,TRUE,direct_human,1.1,3
63570,TRUE,direct_human,1.2,3
63570,TRUE,direct_human,1.3,3
63571,TRUE,direct_human,6.3,3
63616,TRUE,direct_human,1.1,3
63852,FALSE,direct_human,1.1,NA
63852,FALSE,direct_human,1.2,NA
63852,FALSE,direct_human,1.3,NA
63852,FALSE,organic,9.2.1,NA
64442,FALSE,direct_human,6.1,NA
132724,TRUE,nutrient,9.1.1,3
132731,FALSE,direct_human,1.1,NA
132731,FALSE,direct_human,1.3,NA
132731,FALSE,nutrient,9.1.1,NA
132811,FALSE,direct_human,1.1,NA
132811,FALSE,direct_human,1.2,NA
132811,FALSE,direct_human,1.3,NA
132859,TRUE,direct_human,1.1,3
132859,TRUE,direct_human,1.2,3
132859,TRUE,direct_human,1.3,3
132859,TRUE,direct_human,6.1,3
132860,TRUE,direct_human,1.1,3
132860,TRUE,direct_human,1.2,3
132860,TRUE,direct_human,1.3,3
132860,TRUE,direct_human,6.1,3
132861,TRUE,direct_human,1.1,3
132861,TRUE,direct_human,1.2,3
132861,TRUE,direct_human,1.3,3
132861,TRUE,direct_human,6.1,3
132862,TRUE,direct_human,1.1,3
132862,TRUE,direct_human,1.2,3
132862,TRUE,direct_human,1.3,3
132862,TRUE,direct_human,6.1,3
132863,TRUE,direct_human,1.1,3
132863,TRUE,direct_human,1.2,3
132863,TRUE,direct_human,1.3,3
132863,TRUE,direct_human,6.1,3
132864,TRUE,direct_human,1.1,3
132864,TRUE,direct_human,1.2,3
132864,TRUE,direct_human,1.3,3
132864,TRUE,direct_human,6.1,3
132865,TRUE,direct_human,1.1,3
132865,TRUE,direct_human,1.2,3
132865,TRUE,direct_human,1.3,3
132865,TRUE,direct_human,6.1,3
132866,TRUE,direct_human,1.1,3
132866,TRUE,direct_human,1.2,3
132866,TRUE,direct_human,1.3,3
132866,TRUE,direct_human,6.1,3
132867,TRUE,direct_human,1.1,3
132867,TRUE,direct_human,1.2,3
132867,TRUE,direct_human,1.3,3
132867,TRUE,direct_human,6.1,3
132868,TRUE,direct_human,1.1,3
132868,TRUE,direct_human,1.2,3
132868,TRUE,direct_human,1.3,3
132868,TRUE,direct_human,6.1,3
132869,TRUE,direct_human,1.1,3
132869,TRUE,direct_human,1.2,3
132869,TRUE,direct_human,1.3,3
132869,TRUE,direct_human,6.1,3
132870,TRUE,direct_human,1.1,3
132870,TRUE,direct_human,1.2,3
132870,TRUE,direct_human,1.3,3
132870,TRUE,direct_human,6.1,3
132871,TRUE,direct_human,1.1,3
132871,TRUE,direct_human,1.2,3
132871,TRUE,direct_human,1.3,3
132871,TRUE,direct_human,6.1,3
132872,TRUE,direct_human,1.1,3
132872,TRUE,direct_human,1.2,3
132872,TRUE,direct_human,1.3,3
132872,TRUE,direct_human,6.1,3
132873,TRUE,direct_human,1.1,3
132873,TRUE,direct_human,1.2,3
132873,TRUE,direct_human,1.3,3
132873,TRUE,direct_human,6.1,3
132874,TRUE,direct_human,1.1,3
132874,TRUE,direct_human,1.2,3
132874,TRUE,direct_human,1.3,3
132874,TRUE,direct_human,6.1,3
132875,TRUE,direct_human,1.1,3
132875,TRUE,direct_human,1.2,3
132875,TRUE,direct_human,1.3,3
132875,TRUE,direct_human,6.1,3
132876,TRUE,direct_human,1.1,3
132876,TRUE,direct_human,1.2,3
132876,TRUE,direct_human,1.3,3
132876,TRUE,direct_human,6.1,3
132877,TRUE,direct_human,1.1,3
132877,TRUE,direct_human,1.2,3
132877,TRUE,direct_human,1.3,3
132877,TRUE,direct_human,6.1,3
132878,TRUE,direct_human,1.1,3
132878,TRUE,direct_human,1.2,3
132878,TRUE,direct_human,1.3,3
132878,TRUE,direct_human,6.1,3
132879,TRUE,direct_human,1.1,3
132879,TRUE,direct_human,1.2,3
132879,TRUE,direct_human,1.3,3
132879,TRUE,direct_human,6.1,3
132880,TRUE,direct_human,1.1,3
132880,TRUE,direct_human,1.2,3
132880,TRUE,direct_human,1.3,3
132880,TRUE,direct_human,6.1,3
132881,TRUE,direct_human,1.1,3
132881,TRUE,direct_human,1.2,3
132881,TRUE,direct_human,1.3,3
132881,TRUE,direct_human,6.1,3
132882,TRUE,direct_human,1.1,3
132882,TRUE,direct_human,1.2,3
132882,TRUE,direct_human,1.3,3
132882,TRUE,direct_human,6.1,3
