iucn_sid,gear,count
13244,midtrawl,0
13244,poleline,0
13244,seine,0
13244,trap,0
13245,btmtrawl,0
13245,dredge,0
13245,gillnet,1
13245,longline,1
13245,midtrawl,0
13245,poleline,0
13245,seine,0
13245,trap,0
13246,btmtrawl,0
13246,dredge,0
13246,gillnet,1
13246,longline,0
13246,midtrawl,0
13246,poleline,0
13246,seine,0
13246,trap,0
13247,btmtrawl,0
13247,dredge,0
13247,gillnet,1
13247,longline,1
13247,midtrawl,0
13247,poleline,0
13247,seine,0
13247,trap,0
13248,btmtrawl,0
13248,dredge,0
13248,gillnet,1
13248,longline,1
13248,midtrawl,0
13248,poleline,0
13248,seine,0
13248,trap,0
13249,btmtrawl,0
13249,dredge,0
13249,gillnet,1
13249,longline,1
13249,midtrawl,0
13249,poleline,0
13249,seine,0
13249,trap,0
13250,btmtrawl,1
13250,dredge,0
13250,gillnet,1
13250,longline,0
13250,midtrawl,1
13250,poleline,0
13250,seine,0
13250,trap,0
13251,btmtrawl,1
13251,dredge,0
13251,gillnet,2
13251,longline,0
13251,midtrawl,1
13251,poleline,0
13251,seine,0
13251,trap,0
13252,btmtrawl,1
13252,dredge,0
13252,gillnet,3
13252,longline,0
13252,midtrawl,1
13252,poleline,0
13252,seine,0
13252,trap,0
13581,btmtrawl,3
13581,dredge,0
13581,gillnet,0
13581,longline,0
13581,midtrawl,3
13581,poleline,0
13581,seine,0
13581,trap,0
13583,btmtrawl,0
13583,dredge,0
13583,gillnet,0
13583,longline,0
13583,midtrawl,0
13583,poleline,0
13583,seine,0
13583,trap,0
13653,btmtrawl,3
13653,dredge,0
13653,gillnet,2
13653,longline,1
13653,midtrawl,2
13653,poleline,0
13653,seine,1
13653,trap,1
13654,btmtrawl,2
13654,dredge,0
13654,gillnet,1
13654,longline,0
13654,midtrawl,2
13654,poleline,0
13654,seine,0
13654,trap,0
13655,btmtrawl,0
13655,dredge,0
13655,gillnet,0
13655,longline,0
13655,midtrawl,0
13655,poleline,0
13655,seine,0
13655,trap,0
13704,btmtrawl,0
13704,dredge,0
13704,gillnet,0
13704,longline,0
13704,midtrawl,0
13704,poleline,0
13704,seine,0
13704,trap,4
14048,btmtrawl,0
14048,dredge,0
14048,gillnet,0
14048,longline,0
14048,midtrawl,0
14048,poleline,0
14048,seine,0
14048,trap,0
