iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
161634,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Pristiophoriformes,Pristiophoridae,Chondrichthyes
161635,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Chondrichthyes
161636,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161637,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161638,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Chondrichthyes
161641,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161642,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,Chondrichthyes
161656,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Gurgesiellidae,Chondrichthyes
161658,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161659,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161660,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Narcinidae,Chondrichthyes
161661,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161669,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161672,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161673,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161674,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Hexatrygonidae,Chondrichthyes
161675,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161676,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Chondrichthyes
161677,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
161679,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Parascylliidae,Chondrichthyes
161680,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161683,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
161686,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
161724,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
161726,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
161730,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urotrygonidae,Chondrichthyes
195422,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
195431,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
195435,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
195437,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Hemiscylliidae,Chondrichthyes
195448,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
195469,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
195470,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
195471,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
195475,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinidae,Chondrichthyes
195477,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Anacanthobatidae,Chondrichthyes
44602,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
39371,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Chondrichthyes
42721,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Rhinobatidae,Chondrichthyes
84785231,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
44580,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Chondrichthyes
44666,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Chondrichthyes
161705,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
103055459,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
44590,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
181361,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
195485,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Chondrichthyes
195486,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Chondrichthyes
195487,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Chondrichthyes
