iucn_sid,taxon,var_priority,priority
133070,reef_building_corals,8.379095776742293e-8,0.06402771561315654
133071,reef_building_corals,1.429101481524692e-7,0.061049140081673635
133074,reef_building_corals,4.335215328672061e-8,0.07623623872080028
133075,reef_building_corals,9.326622870450488e-9,0.06507275762268681
133078,reef_building_corals,6.4438639777482395e-9,0.06796526370879205
133079,reef_building_corals,6.171273753064363e-8,0.07454414259912144
133080,reef_building_corals,1.857751395838008e-7,0.061095921047394704
133081,reef_building_corals,3.8127613639942254e-8,0.06636777496228341
133083,reef_building_corals,5.65893501452474e-8,0.06707831956985714
133092,reef_building_corals,3.019601628852578e-8,0.0669607491878308
133093,reef_building_corals,1.2896530064207419e-8,0.06717233471138845
133097,reef_building_corals,4.1871206746396444e-8,0.0664993218828929
133099,reef_building_corals,7.102395879381102e-10,0.06734687522629845
133101,reef_building_corals,9.456382467677929e-9,0.0658811337395728
133102,reef_building_corals,7.054993239584219e-10,0.07251906382079079
133105,reef_building_corals,1.941921199597863e-7,0.06114427118190284
133106,reef_building_corals,1.9432365224009056e-7,0.061135604856570915
133107,reef_building_corals,1.6103107540922655e-8,0.06767803907284115
133108,reef_building_corals,0,0.07969559165708824
133109,reef_building_corals,8.479644237581331e-8,0.06844476697708055
133111,reef_building_corals,1.2236568110858323e-9,0.07991215299535422
133112,reef_building_corals,3.378404532065407e-7,0.06638559038383157
133113,reef_building_corals,8.386930116561225e-9,0.06846548174882204
133114,reef_building_corals,4.89969351026497e-7,0.06226509461285318
133115,reef_building_corals,3.0073024217272703e-9,0.06753249908963477
133116,reef_building_corals,8.970820279118547e-9,0.06650364425813036
133117,reef_building_corals,1.536517980732996e-9,0.0757887795631847
133118,reef_building_corals,7.492515536035355e-9,0.06635864457858734
133121,reef_building_corals,0,0.1032390595529307
133123,reef_building_corals,5.888955839424646e-9,0.06714691278951203
133124,reef_building_corals,8.429096371821175e-10,0.07295136334754095
133126,reef_building_corals,1.2789261510021186e-8,0.06642959087960618
133131,reef_building_corals,7.614169631727524e-9,0.06624040030390618
133132,reef_building_corals,2.5232461879041144e-7,0.061400477040636635
133133,reef_building_corals,2.2009176354388095e-8,0.06809629766442518
133134,reef_building_corals,7.706894120505477e-10,0.07273320430438575
133136,reef_building_corals,1.0260580675941714e-7,0.06433066072911725
133139,reef_building_corals,1.773332860864113e-7,0.061090311339577964
133142,reef_building_corals,2.5512466504096392e-8,0.07497354872598205
133145,reef_building_corals,9.425355765670009e-9,0.06864120760293838
133147,reef_building_corals,2.2028105022196306e-7,0.06129872430186051
133150,reef_building_corals,4.4535158737897515e-8,0.06532877083098014
133151,reef_building_corals,8.976865539612062e-10,0.07916674654959578
133152,reef_building_corals,2.580796735036569e-7,0.06140617195813616
133156,reef_building_corals,2.352314921532216e-7,0.06133144487218793
133157,reef_building_corals,2.681680504216644e-8,0.06370851188912822
133159,reef_building_corals,4.424313311664106e-8,0.07634759839889198
133160,reef_building_corals,1.7777302393881748e-7,0.06119122398620327
133162,reef_building_corals,3.6701855696189e-8,0.06609322264759922
133164,reef_building_corals,2.0644067994876153e-8,0.06781344416798397
133165,reef_building_corals,4.660299338368749e-10,0.0715289636044374
