iucn_sid,stressor,sensitive
39346,dem_nondest_hb,NA
39346,dem_nondest_lb,NA
39346,pel_hb,NA
39346,pel_lb,NA
39347,art_fish,TRUE
39347,dem_dest,NA
39347,dem_nondest_hb,NA
39347,dem_nondest_lb,NA
39347,pel_hb,FALSE
39347,pel_lb,FALSE
39348,art_fish,TRUE
39348,dem_dest,NA
39348,dem_nondest_hb,NA
39348,dem_nondest_lb,NA
39348,pel_hb,NA
39348,pel_lb,NA
39349,art_fish,TRUE
39349,dem_dest,NA
39349,dem_nondest_hb,NA
39349,dem_nondest_lb,NA
39349,pel_hb,FALSE
39349,pel_lb,FALSE
39350,art_fish,TRUE
39350,dem_dest,NA
39350,dem_nondest_hb,NA
39350,dem_nondest_lb,NA
39350,pel_hb,TRUE
39350,pel_lb,TRUE
39351,art_fish,NA
39351,dem_dest,FALSE
39351,dem_nondest_hb,FALSE
