eez,stressor,n_spp,n_imp,mean_imp_pct,a_wt_mean_imp_pct,med_imp_pct,sd_imp_pct
219,ocean,41,4,0.0975609756097561,0.11759915524812813,0,0.30040622902833486
220,climate,62,11,0.1774193548387097,0.1270998130344262,0,0.38514181115689883
220,cumulative,62,16,0.24180107519813349,0.21224779988832976,0,0.4220694579345424
220,fishing,62,0,0,0,0,0
220,land-based,62,2,0.015994623585230267,0.021153675160669645,0,0.08832132556821831
220,ocean,62,13,0.20967741935483872,0.16976268749658216,0,0.41040151368212
221,climate,63,11,0.1746031746031746,0.14356722298131386,0,0.38267658962604945
221,cumulative,63,49,0.4626698489542196,0.4915422400872174,0.6388396454942371,0.3937642131378424
221,fishing,63,45,0.2477685073635788,0.2982661591286103,0.03196829584649056,0.2994239398856167
221,land-based,63,17,0.027070052136406408,0.02213330767742793,0,0.05033165865906477
221,ocean,63,13,0.20634920634920634,0.18367977622606824,0,0.4079346152039785
222,climate,34,6,0.10741995132638485,0.1325817471097142,0,0.2778340922803603
222,cumulative,34,28,0.7861333407901749,0.7536901833219936,0.9898159616467316,0.3763724785013426
222,fishing,34,25,0.6868671628010657,0.6873366045145641,0.9182402879959507,0.4250100916934055
222,land-based,34,8,0.0712553334559033,0.03595160729519988,0,0.21077507048699137
222,ocean,34,4,0.11457800511061421,0.038219521038839105,0,0.3188918673805621
223,climate,47,11,0.21074720096276534,0.3123082328948045,0,0.38715485405322153
223,cumulative,47,41,0.7662164034114956,0.7749424962211843,0.9741169196291561,0.3713763965897432
223,fishing,47,36,0.6188439430156402,0.48235053315483417,0.8181212524941732,0.4234070243476803
223,land-based,47,11,0.030645143940345353,0.005034601202899638,0,0.13386638518016813
223,ocean,47,5,0.0958432681094578,0.17814760800324878,0,0.28348304312238487
224,climate,114,31,0.1770019553140568,0.055739902539775545,0,0.3509475913115302
224,cumulative,114,95,0.4040292570090436,0.20972931201513262,0.2786200443612493,0.36348838776823006
224,fishing,114,72,0.20083810690238607,0.11406961682805739,0.09375868218876945,0.2696546922308507
224,land-based,114,36,0.03518516348537915,0.001576919474949356,0,0.07271262040182194
224,ocean,114,21,0.0800484959452909,0.049091586898355535,0,0.17706275975176447
227,climate,42,7,0.14745782283723224,0.14378583429085595,0,0.3337921357106198
227,cumulative,42,36,0.8571428571428571,0.8566195633431373,1,0.3541688016605732
227,fishing,42,36,0.8571428571428571,0.8566195633431373,1,0.3541688016605732
227,land-based,42,8,0.019763112793480347,0.01924914582314883,0,0.04150594102180556
227,ocean,42,3,0.07142857142857142,0.07169021832843138,0,0.26066118021500656
228,climate,42,7,0.03519257423753995,0.03406947119342704,0,0.09095231652741032
