iucn_sid,sens,stressor,code,score_num,category
41005,FALSE,nutrient,9.3.1,NA,land-based
41006,FALSE,direct_human,1.1,NA,land-based
41006,FALSE,direct_human,1.2,NA,land-based
41006,FALSE,direct_human,1.3,NA,land-based
41006,FALSE,nutrient,9.1.1,NA,land-based
41006,FALSE,nutrient,9.3.1,NA,land-based
41007,FALSE,nutrient,9.1.1,NA,land-based
41007,FALSE,organic,9.2.1,NA,land-based
41007,FALSE,organic,9.2.2,NA,land-based
41008,TRUE,direct_human,1.1,3,land-based
41008,TRUE,direct_human,1.2,3,land-based
41008,TRUE,direct_human,1.3,3,land-based
41664,TRUE,direct_human,6.1,3,land-based
41664,TRUE,organic,9.2.1,3,land-based
41665,TRUE,organic,9.3.3,4,land-based
41671,TRUE,organic,9.2.1,3,land-based
41672,TRUE,direct_human,6.1,3,land-based
41672,TRUE,organic,9.2.1,3,land-based
41673,TRUE,direct_human,1.2,5,land-based
41673,FALSE,nutrient,2.4.3,NA,land-based
41673,TRUE,nutrient,9.1.1,5,land-based
41673,TRUE,nutrient,9.1.2,5,land-based
41673,TRUE,organic,9.1.2,5,land-based
41673,TRUE,organic,9.2.1,5,land-based
41673,TRUE,organic,9.3.3,5,land-based
41677,TRUE,direct_human,1.2,3,land-based
41714,TRUE,direct_human,1.1,3,land-based
41714,TRUE,direct_human,1.2,3,land-based
41714,TRUE,direct_human,6.1,3,land-based
41754,TRUE,direct_human,1.2,6,land-based
41754,FALSE,direct_human,6.1,NA,land-based
41754,FALSE,nutrient,9.1.1,NA,land-based
41754,FALSE,nutrient,9.1.2,NA,land-based
41754,FALSE,organic,9.1.2,NA,land-based
41754,FALSE,organic,9.3.3,NA,land-based
41761,TRUE,organic,9.2.1,3,land-based
41762,TRUE,organic,9.3.3,3,land-based
41797,TRUE,direct_human,1.1,3,land-based
41797,TRUE,organic,9.2.2,3,land-based
41819,TRUE,organic,9.2.2,3,land-based
41870,FALSE,organic,9.2.2,NA,land-based
41875,FALSE,nutrient,9.1.1,NA,land-based
41875,FALSE,organic,9.2.2,NA,land-based
41880,FALSE,direct_human,1.1,NA,land-based
42712,FALSE,direct_human,1.1,0,land-based
43993,FALSE,direct_human,1.1,NA,land-based
43993,FALSE,direct_human,1.2,NA,land-based
43993,FALSE,direct_human,1.3,NA,land-based
43993,FALSE,nutrient,9.1.1,NA,land-based
43993,FALSE,organic,9.2.1,NA,land-based
44070,TRUE,direct_human,6.1,3,land-based
44071,TRUE,direct_human,6.1,3,land-based
44166,TRUE,direct_human,1.1,3,land-based
44166,TRUE,nutrient,2.4.3,3,land-based
44173,FALSE,organic,9.2.1,1,land-based
44174,FALSE,organic,9.2.1,NA,land-based
44175,FALSE,organic,9.2.1,NA,land-based
44176,FALSE,organic,9.2.1,NA,land-based
44177,FALSE,organic,9.2.1,NA,land-based
44178,FALSE,organic,9.2.1,NA,land-based
44179,FALSE,organic,9.2.1,NA,land-based
44183,TRUE,direct_human,6.1,3,land-based
44187,TRUE,organic,9.3.3,3,land-based
44587,TRUE,organic,9.3.3,3,land-based
44671,TRUE,direct_human,1.3,3,land-based
44674,FALSE,direct_human,1.1,NA,land-based
44674,FALSE,direct_human,1.2,NA,land-based
44674,FALSE,nutrient,9.1.2,NA,land-based
44674,FALSE,organic,9.1.2,NA,land-based
60108,TRUE,direct_human,6.1,3,land-based
60112,TRUE,direct_human,6.1,3,land-based
60149,TRUE,direct_human,6.1,3,land-based
60152,TRUE,nutrient,2.4.1,3,land-based
60154,TRUE,direct_human,1.1,3,land-based
60168,TRUE,nutrient,2.4.2,3,land-based
60171,FALSE,nutrient,2.4.3,NA,land-based
60171,TRUE,direct_human,6.1,5,land-based
60302,TRUE,direct_human,1.1,3,land-based
60302,TRUE,nutrient,2.4.3,3,land-based
60302,TRUE,nutrient,9.1.1,3,land-based
60344,TRUE,direct_human,1.1,4,land-based
60344,TRUE,direct_human,1.2,4,land-based
60344,TRUE,direct_human,1.3,4,land-based
60344,FALSE,nutrient,9.1.1,NA,land-based
60344,FALSE,nutrient,9.1.2,NA,land-based
60344,FALSE,organic,9.1.2,NA,land-based
60344,FALSE,organic,9.2.2,NA,land-based
60344,TRUE,organic,9.3.3,6,land-based
60344,FALSE,light,9.6.1,NA,land-based
61213,TRUE,nutrient,9.3.1,3,land-based
61213,TRUE,organic,9.3.3,3,land-based
61250,TRUE,nutrient,2.4.2,3,land-based
61314,FALSE,direct_human,1.1,NA,land-based
61314,FALSE,direct_human,1.2,NA,land-based
61333,TRUE,direct_human,1.1,3,land-based
61333,TRUE,direct_human,1.2,3,land-based
61333,TRUE,direct_human,1.3,3,land-based
61333,TRUE,direct_human,6.1,3,land-based
61333,TRUE,nutrient,9.1.1,3,land-based
61334,TRUE,direct_human,1.2,3,land-based
61334,TRUE,nutrient,9.1.1,3,land-based
61337,TRUE,direct_human,6.1,3,land-based
61339,FALSE,direct_human,1.2,NA,land-based
61417,FALSE,direct_human,1.1,NA,land-based
61417,FALSE,direct_human,1.2,NA,land-based
61417,FALSE,direct_human,1.3,NA,land-based
61418,FALSE,direct_human,1.1,NA,land-based
61418,FALSE,direct_human,1.2,NA,land-based
61418,FALSE,direct_human,1.3,NA,land-based
61418,FALSE,direct_human,6.1,NA,land-based
61442,TRUE,direct_human,1.2,7,land-based
61442,FALSE,direct_human,6.3,NA,land-based
