iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
80671020,Bathyraja panthera,Leopard Skate,2015,LC,48,396,NA,NA,NA,NA,NA,LC,0,2020-1
81909791,Grammoplites vittatus,NA,2018,DD,15,30,NA,NA,NA,NA,NA,DD,NA,2020-1
82031425,Sousa chinensis,Indo-Pacific Humpback Dolphin,2017,VU,0,30,NA,NA,NA,NA,A3cd+4cd,VU,0.4,2020-1
82031633,Sousa plumbea,Indian Ocean Humpback Dolphin,2017,EN,3,25,NA,NA,NA,54000,A2cd+3cd+4cd,EN,0.6,2020-1
82031667,Sousa sahulensis,Australian Humpback Dolphin,2017,VU,0,40,NA,NA,NA,NA,C2a(i),VU,0.4,2020-1
82124938,Paracaristius aquilus,NA,2015,LC,600,1480,NA,NA,NA,NA,NA,LC,0,2020-1
82125026,Coelorinchus geronimo,NA,2015,LC,200,510,NA,NA,NA,NA,NA,LC,0,2020-1
82125080,Lestidiops distans,NA,2015,LC,0,200,NA,NA,NA,NA,NA,LC,0,2020-1
82125112,Lestidiops similis,NA,2015,LC,200,600,NA,NA,NA,NA,NA,LC,0,2020-1
82125176,Anthias cyprinoides,NA,2015,DD,220,589,NA,NA,NA,NA,NA,DD,NA,2020-1
82125274,Anthias helenensis,NA,2015,DD,163,460,NA,NA,NA,NA,NA,DD,NA,2020-1
82125351,Holanthias caudalis,NA,2015,DD,50,170,NA,NA,NA,NA,NA,DD,NA,2020-1
82125424,Holanthias fronticinctus,NA,2015,DD,73,110,NA,NA,NA,NA,NA,DD,NA,2020-1
82125464,Paracaristius nemorosus,NA,2015,LC,742,1550,NA,NA,NA,NA,NA,LC,0,2020-1
82306863,Pristigenys refulgens,Blackfringe Bigeye,2016,LC,15,280,NA,NA,NA,NA,NA,LC,0,2020-1
82306982,Parabothus filipes,Coral Sea Flounder,2016,LC,295,330,NA,NA,NA,NA,NA,LC,0,2020-1
82308445,Tosarhombus longimanus,NA,2016,LC,217,310,NA,NA,NA,NA,NA,LC,0,2020-1
82308484,Plectranthias flammeus,Flame Perchlet,2016,LC,7,45,NA,NA,NA,NA,NA,LC,0,2020-1
82308681,Pseudanthias oumati,Saffron Anthias,2016,LC,50,55,NA,NA,NA,NA,NA,LC,0,2020-1
82308810,Rabaulichthys altipinnis,Sailfin Anthias,2016,LC,30,40,NA,NA,NA,NA,NA,LC,0,2020-1
82308861,Plectorhinchus vittatus,Indian Ocean Oriental Sweetlips,2019,LC,2,25,NA,NA,NA,NA,NA,LC,0,2020-1
82308892,Paraxenisthmus springeri,NA,2016,DD,18,37,NA,NA,NA,NA,NA,DD,NA,2020-1
82626288,Etrumeus sadina,West Atlantic Round Herring,2015,LC,0,200,NA,NA,NA,NA,NA,LC,0,2020-1
83284529,Tetronarce cowleyi,South African Torpedo,2019,LC,110,455,NA,NA,NA,NA,NA,LC,0,2020-1
83457578,Octopus minor,Whiparm octopus,2018,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
83644804,Caretta caretta Mediterranean subpopulation,Loggerhead Turtle,2015,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
83652278,Caretta caretta North Pacific subpopulation,Loggerhead Turtle,2015,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
83776383,Caretta caretta North East Atlantic subpopulation,Loggerhead Turtle,2015,EN,NA,NA,NA,NA,NA,NA,B2ab(iii),EN,0.6,2020-1
84126444,Caretta caretta North East Indian Ocean subpopulation,Loggerhead Turtle,2015,CR,NA,NA,NA,NA,45,NA,D,CR,0.8,2020-1
84127873,Caretta caretta North West Indian Ocean subpopulation,Loggerhead Turtle,2015,CR,NA,NA,NA,NA,NA,NA,A4b,CR,0.8,2020-1
84131194,Caretta caretta North West Atlantic subpopulation,Loggerhead Turtle,2017,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
84156809,Caretta caretta South Pacific subpopulation,Loggerhead Turtle,2015,CR,NA,NA,NA,NA,NA,NA,A2b,CR,0.8,2020-1
